"","mun","year","Nombre municipio","Departamento","presencia","Guerrilla","Paramilitaries","Disputa"
"5894",19743,2002,"Silvia","Cauca",3,1,1,1
"5895",19760,2002,"Sotara","Cauca",1,1,0,0
"5896",19780,2002,"Suárez","Cauca",0,0,0,0
"5897",19785,2002,"Sucre","Cauca",0,0,0,0
"5898",19807,2002,"Timbío","Cauca",3,1,1,1
"5899",19809,2002,"Timbiquí","Cauca",3,1,1,1
"5900",19821,2002,"Toribio","Cauca",1,1,0,0
"5901",19824,2002,"Totoró","Cauca",1,1,0,0
"5902",19845,2002,"Villa Rica","Cauca",0,0,0,0
"5903",20001,2002,"Valledupar","Cesar",2,0,1,0
"5904",20011,2002,"Aguachica","Cesar",3,1,1,1
"5905",20013,2002,"Agustín Codazzi","Cesar",3,1,1,1
"5906",20032,2002,"Astrea","Cesar",0,0,0,0
"5907",20045,2002,"Becerril","Cesar",3,1,1,1
"5908",20060,2002,"Bosconia","Cesar",3,1,1,1
"5909",20175,2002,"Chimichagua","Cesar",0,0,0,0
"5910",20178,2002,"Chiriguaná","Cesar",3,1,1,1
"5911",20228,2002,"Curumaní","Cesar",3,1,1,1
"5912",20238,2002,"El Copey","Cesar",1,1,0,0
"5913",20250,2002,"El Paso","Cesar",3,1,1,1
"5914",20295,2002,"Gamarra","Cesar",3,1,1,1
"5915",20310,2002,"González","Cesar",0,0,0,0
"5916",20383,2002,"La Gloria","Cesar",3,1,1,1
"5917",20400,2002,"La Jagua De Ibirico","Cesar",1,1,0,0
"5918",20443,2002,"Manaure","Cesar",3,1,1,1
"5919",20517,2002,"Pailitas","Cesar",3,1,1,1
"5920",20550,2002,"Pelaya","Cesar",1,1,0,0
"5921",20570,2002,"Pueblo Bello","Cesar",2,0,1,0
"5922",20614,2002,"Río De Oro","Cesar",0,0,0,0
"5923",20621,2002,"La Paz","Cesar",1,1,0,0
"5924",20710,2002,"San Alberto","Cesar",0,0,0,0
"5925",20750,2002,"San Diego","Cesar",1,1,0,0
"5926",20770,2002,"San Martín","Cesar",3,1,1,1
"5927",20787,2002,"Tamalameque","Cesar",0,0,0,0
"5928",23001,2002,"Montería","Córdoba",3,1,1,1
"5929",23068,2002,"Ayapel","Córdoba",0,0,0,0
"5930",23079,2002,"Buenavista","Córdoba",0,0,0,0
"5931",23090,2002,"Canalete","Córdoba",0,0,0,0
"5932",23162,2002,"Cereté","Córdoba",0,0,0,0
"5933",23168,2002,"Chimá","Córdoba",0,0,0,0
"5934",23182,2002,"Chinú","Córdoba",3,1,1,1
"5935",23189,2002,"Ciénaga De Oro","Córdoba",0,0,0,0
"5936",23300,2002,"Cotorra","Córdoba",0,0,0,0
"5937",23350,2002,"La Apartada","Córdoba",0,0,0,0
"5938",23417,2002,"Lorica","Córdoba",0,0,0,0
"5939",23419,2002,"Los Córdobas","Córdoba",0,0,0,0
"5940",23464,2002,"Momil","Córdoba",3,1,1,1
"5941",23466,2002,"Montelíbano","Córdoba",3,1,1,1
"5942",23500,2002,"Moñitos","Córdoba",0,0,0,0
"5943",23555,2002,"Planeta Rica","Córdoba",0,0,0,0
"5944",23570,2002,"Pueblo Nuevo","Córdoba",2,0,1,0
"5945",23574,2002,"Puerto Escondido","Córdoba",0,0,0,0
"5946",23580,2002,"Puerto Libertador","Córdoba",2,0,1,0
"5947",23586,2002,"Purísima","Córdoba",0,0,0,0
"5948",23660,2002,"Sahagún","Córdoba",0,0,0,0
"5949",23670,2002,"San Andrés Sotavento","Córdoba",2,0,1,0
"5950",23672,2002,"San Antero","Córdoba",0,0,0,0
"5951",23675,2002,"San Bernardo Del Viento","Córdoba",0,0,0,0
"5952",23678,2002,"San Carlos","Córdoba",2,0,1,0
"5953",23682,2002,"San Jose de Ure","Cordoba",0,0,0,0
"5954",23686,2002,"San Pelayo","Córdoba",3,1,1,1
"5955",23807,2002,"Tierralta","Córdoba",3,1,1,1
"5956",23815,2002,"Tuchin","Cordoba",0,0,0,0
"5957",23855,2002,"Valencia","Córdoba",3,1,1,1
"5958",25001,2002,"Agua De Dios","Cundinamarca",0,0,0,0
"5959",25019,2002,"Albán","Cundinamarca",3,1,1,1
"5960",25035,2002,"Anapoima","Cundinamarca",2,0,1,0
"5961",25040,2002,"Anolaima","Cundinamarca",2,0,1,0
"5962",25053,2002,"Arbeláez","Cundinamarca",3,1,1,1
"5963",25086,2002,"Beltrán","Cundinamarca",3,1,1,1
"5964",25095,2002,"Bituima","Cundinamarca",3,1,1,1
"5965",25099,2002,"Bojacá","Cundinamarca",0,0,0,0
"5966",25120,2002,"Cabrera","Cundinamarca",1,1,0,0
"5967",25123,2002,"Cachipay","Cundinamarca",1,1,0,0
"5968",25126,2002,"Cajicá","Cundinamarca",0,0,0,0
"5969",25148,2002,"Caparrapí","Cundinamarca",3,1,1,1
"5970",25151,2002,"Caqueza","Cundinamarca",1,1,0,0
"5971",25154,2002,"Carmen De Carupa","Cundinamarca",1,1,0,0
"5972",25168,2002,"Chaguaní","Cundinamarca",1,1,0,0
"5973",25175,2002,"Chía","Cundinamarca",0,0,0,0
"5974",25178,2002,"Chipaque","Cundinamarca",3,1,1,1
"5975",25181,2002,"Choachí","Cundinamarca",1,1,0,0
"5976",25183,2002,"Chocontá","Cundinamarca",1,1,0,0
"5977",25200,2002,"Cogua","Cundinamarca",0,0,0,0
"5978",25214,2002,"Cota","Cundinamarca",0,0,0,0
"5979",25224,2002,"Cucunubá","Cundinamarca",0,0,0,0
"5980",25245,2002,"El Colegio","Cundinamarca",3,1,1,1
"5981",25258,2002,"El Peñón","Cundinamarca",0,0,0,0
"5982",25260,2002,"El Rosal","Cundinamarca",0,0,0,0
"5983",25269,2002,"Facatativá","Cundinamarca",0,0,0,0
"5984",25279,2002,"Fomeque","Cundinamarca",1,1,0,0
"5985",25281,2002,"Fosca","Cundinamarca",3,1,1,1
"5986",25286,2002,"Funza","Cundinamarca",3,1,1,1
"5987",25288,2002,"Fúquene","Cundinamarca",3,1,1,1
"5988",25290,2002,"Fusagasugá","Cundinamarca",1,1,0,0
"5989",25293,2002,"Gachala","Cundinamarca",1,1,0,0
"5990",25295,2002,"Gachancipá","Cundinamarca",0,0,0,0
"5991",25297,2002,"Gachetá","Cundinamarca",1,1,0,0
"5992",25299,2002,"Gama","Cundinamarca",3,1,1,1
"5993",25307,2002,"Girardot","Cundinamarca",3,1,1,1
"5994",25312,2002,"Granada","Cundinamarca",3,1,1,1
"5995",25317,2002,"Guachetá","Cundinamarca",3,1,1,1
"5996",25320,2002,"Guaduas","Cundinamarca",1,1,0,0
"5997",25322,2002,"Guasca","Cundinamarca",3,1,1,1
"5998",25324,2002,"Guataquí","Cundinamarca",3,1,1,1
"5999",25326,2002,"Guatavita","Cundinamarca",0,0,0,0
"6000",25328,2002,"Guayabal De Siquima","Cundinamarca",3,1,1,1
"6001",25335,2002,"Guayabetal","Cundinamarca",3,1,1,1
"6002",25339,2002,"Gutiérrez","Cundinamarca",1,1,0,0
"6003",25368,2002,"Jerusalén","Cundinamarca",3,1,1,1
"6004",25372,2002,"Junín","Cundinamarca",1,1,0,0
"6005",25377,2002,"La Calera","Cundinamarca",0,0,0,0
"6006",25386,2002,"La Mesa","Cundinamarca",0,0,0,0
"6007",25394,2002,"La Palma","Cundinamarca",3,1,1,1
"6008",25398,2002,"La Peña","Cundinamarca",1,1,0,0
"6009",25402,2002,"La Vega","Cundinamarca",3,1,1,1
"6010",25407,2002,"Lenguazaque","Cundinamarca",0,0,0,0
"6011",25426,2002,"Macheta","Cundinamarca",1,1,0,0
"6012",25430,2002,"Madrid","Cundinamarca",0,0,0,0
"6013",25436,2002,"Manta","Cundinamarca",0,0,0,0
"6014",25438,2002,"Medina","Cundinamarca",3,1,1,1
"6015",25473,2002,"Mosquera","Cundinamarca",3,1,1,1
"6016",25483,2002,"Nariño","Cundinamarca",3,1,1,1
"6017",25486,2002,"Nemocón","Cundinamarca",3,1,1,1
"6018",25488,2002,"Nilo","Cundinamarca",0,0,0,0
"6019",25489,2002,"Nimaima","Cundinamarca",3,1,1,1
"6020",25491,2002,"Nocaima","Cundinamarca",0,0,0,0
"6021",25506,2002,"Venecia","Cundinamarca",1,1,0,0
"6022",25513,2002,"Pacho","Cundinamarca",3,1,1,1
"6023",25518,2002,"Paime","Cundinamarca",3,1,1,1
"6024",25524,2002,"Pandi","Cundinamarca",3,1,1,1
"6025",25530,2002,"Paratebueno","Cundinamarca",3,1,1,1
"6026",25535,2002,"Pasca","Cundinamarca",1,1,0,0
"6027",25572,2002,"Puerto Salgar","Cundinamarca",0,0,0,0
"6028",25580,2002,"Pulí","Cundinamarca",1,1,0,0
"6029",25592,2002,"Quebradanegra","Cundinamarca",3,1,1,1
"6030",25594,2002,"Quetame","Cundinamarca",1,1,0,0
"6031",25596,2002,"Quipile","Cundinamarca",1,1,0,0
