mun,year,FARC,ELN,AUC,Guerrilla,Paramilitaries
23660,1989,0,0,0,0,0
23670,1989,0,0,0,0,0
23672,1989,0,0,0,0,0
23675,1989,0,0,0,0,0
23678,1989,0,0,0,0,0
23682,1989,0,0,0,0,0
23686,1989,0,0,0,0,0
23807,1989,0,0,0,0,0
23815,1989,0,0,0,0,0
23855,1989,0,0,0,0,0
25001,1989,0,0,0,0,0
25019,1989,0,0,0,0,0
25035,1989,0,0,0,0,0
25040,1989,0,0,0,0,0
25053,1989,0,0,0,0,0
25086,1989,0,0,0,0,0
25095,1989,0,0,0,0,0
25099,1989,0,0,0,0,0
25120,1989,0,0,0,0,0
25123,1989,0,0,0,0,0
25126,1989,0,0,0,0,0
25148,1989,0,0,0,0,0
25151,1989,0,0,0,0,0
25154,1989,0,0,0,0,0
25168,1989,0,0,0,0,0
25175,1989,0,0,0,0,0
25178,1989,0,0,0,0,0
25181,1989,0,0,0,0,0
25183,1989,0,0,0,0,0
25200,1989,0,0,0,0,0
25214,1989,0,0,0,0,0
25224,1989,0,0,0,0,0
25245,1989,0,0,0,0,0
25258,1989,0,0,0,0,0
25260,1989,0,0,0,0,0
25269,1989,0,0,0,0,0
25279,1989,0,0,0,0,0
25281,1989,0,0,0,0,0
25286,1989,0,0,0,0,0
25288,1989,0,0,0,0,0
25290,1989,0,0,0,0,0
25293,1989,0,0,0,0,0
25295,1989,0,0,0,0,0
25297,1989,0,0,0,0,0
25299,1989,0,0,0,0,0
25307,1989,0,0,0,0,0
25312,1989,0,0,0,0,0
25317,1989,0,0,0,0,0
25320,1989,0,0,0,0,0
25322,1989,0,0,0,0,0
25324,1989,0,0,0,0,0
25326,1989,0,0,0,0,0
25328,1989,0,0,0,0,0
25335,1989,0,0,0,0,0
25339,1989,0,0,0,0,0
25368,1989,0,0,0,0,0
25372,1989,0,0,0,0,0
25377,1989,0,0,0,0,0
25386,1989,0,0,0,0,0
25394,1989,0,0,0,0,0
25398,1989,0,0,0,0,0
25402,1989,0,0,0,0,0
25407,1989,0,0,0,0,0
25426,1989,0,0,0,0,0
25430,1989,0,0,0,0,0
25436,1989,0,0,0,0,0
25438,1989,0,0,0,0,0
25473,1989,0,0,0,0,0
25483,1989,0,0,0,0,0
25486,1989,0,0,0,0,0
25488,1989,0,0,0,0,0
25489,1989,0,0,0,0,0
25491,1989,0,0,0,0,0
25506,1989,0,0,0,0,0
25513,1989,0,0,0,0,0
25518,1989,0,0,0,0,0
25524,1989,0,0,0,0,0
25530,1989,0,0,0,0,0
25535,1989,0,0,0,0,0
25572,1989,0,0,0,0,0
25580,1989,0,0,0,0,0
25592,1989,0,0,0,0,0
25594,1989,0,0,0,0,0
25596,1989,0,0,0,0,0
25599,1989,0,0,0,0,0
25612,1989,0,0,0,0,0
25645,1989,0,0,0,0,0
25649,1989,0,0,0,0,0
25653,1989,0,0,0,0,0
25658,1989,0,0,0,0,0
25662,1989,0,0,0,0,0
25718,1989,0,0,0,0,0
25736,1989,0,0,0,0,0
25740,1989,0,0,0,0,0
25743,1989,0,0,0,0,0
25745,1989,0,0,0,0,0
25754,1989,0,0,0,0,0
25758,1989,0,0,0,0,0
25769,1989,0,0,0,0,0
25772,1989,0,0,0,0,0
25777,1989,0,0,0,0,0
25779,1989,0,0,0,0,0
25781,1989,0,0,0,0,0
25785,1989,0,0,0,0,0
25793,1989,0,0,0,0,0
25797,1989,0,0,0,0,0
25799,1989,0,0,0,0,0
25799,1989,0,1,0,1,0
25805,1989,0,0,0,0,0
25807,1989,0,0,0,0,0
25815,1989,0,0,0,0,0
25817,1989,0,0,0,0,0
25823,1989,0,0,0,0,0
25839,1989,0,0,0,0,0
25841,1989,0,0,0,0,0
25843,1989,0,0,0,0,0
25845,1989,0,0,0,0,0
25851,1989,0,0,0,0,0
25862,1989,0,0,0,0,0
25867,1989,0,0,0,0,0
25871,1989,0,0,0,0,0
25873,1989,0,0,0,0,0
25875,1989,0,0,0,0,0
25878,1989,0,0,0,0,0
25885,1989,0,0,0,0,0
25898,1989,0,0,0,0,0
25899,1989,0,0,0,0,0
27001,1989,0,0,0,0,0
27006,1989,0,0,0,0,0
27025,1989,0,0,0,0,0
27050,1989,0,0,0,0,0
27073,1989,0,0,0,0,0
27075,1989,0,0,0,0,0
27077,1989,0,0,0,0,0
27099,1989,0,0,0,0,0
27135,1989,0,0,0,0,0
27150,1989,0,0,0,0,0
27160,1989,0,0,0,0,0
27205,1989,0,0,0,0,0
27245,1989,0,0,0,0,0
27250,1989,0,0,0,0,0
27361,1989,0,0,0,0,0
27372,1989,0,0,0,0,0
27413,1989,0,0,0,0,0
27425,1989,0,0,0,0,0
