"","mun","year","AUC","FARC","Paramilitaries","Guerrilla"
"600",27099,1988,NA,1,0,1
"601",27135,1988,NA,0,0,0
"602",27150,1988,NA,0,0,0
"603",27160,1988,NA,0,0,0
"604",27205,1988,NA,0,0,0
"605",27245,1988,NA,1,1,1
"606",27250,1988,NA,0,0,0
"607",27361,1988,NA,0,0,0
"608",27372,1988,NA,0,0,0
"609",27413,1988,NA,0,0,0
"610",27415,1988,NA,0,0,0
"611",27425,1988,NA,0,0,0
"612",27430,1988,NA,0,0,0
"613",27450,1988,NA,0,0,0
"614",27491,1988,NA,0,0,0
"615",27495,1988,NA,0,0,0
"616",27580,1988,NA,0,0,0
"617",27600,1988,NA,0,0,0
"618",27615,1988,NA,0,1,0
"619",27660,1988,NA,0,0,0
"620",27745,1988,NA,0,0,0
"621",27787,1988,NA,1,0,1
"622",27800,1988,NA,0,1,0
"623",27810,1988,NA,0,0,0
"624",27999,1988,NA,0,0,0
"625",41001,1988,NA,1,1,1
"626",41006,1988,NA,1,0,1
"627",41013,1988,NA,0,0,1
"628",41016,1988,NA,0,0,0
"629",41020,1988,NA,1,1,1
"630",41026,1988,NA,0,0,0
"631",41069,1988,NA,0,0,0
"632",41078,1988,NA,0,1,0
"633",41132,1988,NA,1,0,1
"634",41206,1988,NA,1,1,1
"635",41244,1988,NA,0,0,0
"636",41298,1988,NA,1,1,1
"637",41306,1988,NA,1,0,1
"638",41319,1988,NA,0,1,1
"639",41349,1988,NA,1,0,1
"640",41350,1988,NA,0,0,0
"641",41357,1988,NA,0,0,0
"642",41359,1988,NA,1,1,1
"643",41378,1988,NA,0,0,1
"644",41396,1988,NA,1,1,1
"645",41483,1988,NA,0,0,1
"646",41503,1988,NA,0,0,0
"647",41518,1988,NA,0,0,0
"648",41524,1988,NA,0,0,1
"649",41530,1988,NA,1,1,1
"650",41548,1988,NA,0,0,1
"651",41551,1988,NA,0,1,1
"652",41615,1988,NA,1,1,1
"653",41660,1988,NA,1,0,1
"654",41668,1988,NA,1,0,1
"655",41676,1988,NA,1,1,1
"656",41770,1988,NA,0,0,0
"657",41791,1988,NA,0,0,0
"658",41797,1988,NA,0,0,0
"659",41799,1988,NA,1,1,1
"660",41801,1988,NA,0,0,0
"661",41807,1988,NA,0,1,0
"662",41872,1988,NA,0,1,0
"663",41885,1988,NA,0,0,0
"664",44001,1988,NA,0,1,0
"665",44035,1988,NA,0,0,0
"666",44078,1988,NA,0,0,0
"667",44090,1988,NA,0,0,0
"668",44098,1988,NA,0,0,0
"669",44110,1988,NA,0,0,0
"670",44279,1988,NA,0,0,0
"671",44378,1988,NA,0,0,0
"672",44420,1988,NA,0,0,0
"673",44430,1988,NA,0,1,0
"674",44560,1988,NA,0,0,0
"675",44650,1988,NA,0,0,0
"676",44847,1988,NA,0,0,0
"677",44855,1988,NA,0,1,0
"678",44874,1988,NA,0,0,0
"679",44997,1988,NA,0,0,0
"680",44998,1988,NA,0,0,0
"681",44999,1988,NA,0,0,0
"682",47001,1988,NA,1,1,1
"683",47030,1988,NA,0,0,0
"684",47053,1988,NA,0,1,0
"685",47058,1988,NA,0,0,0
"686",47161,1988,NA,0,0,0
"687",47170,1988,NA,0,1,0
"688",47189,1988,NA,1,1,1
"689",47205,1988,NA,0,0,0
"690",47245,1988,NA,0,0,0
"691",47258,1988,NA,0,0,0
"692",47268,1988,NA,0,0,0
"693",47288,1988,NA,1,1,1
"694",47318,1988,NA,0,0,0
"695",47460,1988,NA,0,0,0
"696",47541,1988,NA,0,0,0
"697",47545,1988,NA,0,0,0
"698",47551,1988,NA,0,0,1
"699",47555,1988,NA,0,1,0
"700",47570,1988,NA,0,0,0
"701",47605,1988,NA,0,0,0
"702",47660,1988,NA,0,0,0
"703",47675,1988,NA,0,0,0
"704",47692,1988,NA,0,1,0
"705",47703,1988,NA,0,0,0
"706",47707,1988,NA,0,0,0
"707",47720,1988,NA,0,0,0
"708",47745,1988,NA,0,0,0
"709",47745,1988,NA,0,0,0
"710",47745,1988,NA,0,0,0
"711",47745,1988,NA,0,0,0
"712",47745,1988,NA,0,0,0
"713",47745,1988,NA,0,0,0
"714",47798,1988,NA,0,0,0
"715",47960,1988,NA,0,0,0
"716",47980,1988,NA,0,0,0
"717",47998,1988,NA,0,0,0
"718",47999,1988,NA,0,0,0
"719",50001,1988,NA,1,1,1
"720",50006,1988,NA,0,1,0
"721",50110,1988,NA,0,0,0
"722",50110,1988,NA,0,0,0
"723",50124,1988,NA,0,0,0
"724",50150,1988,NA,0,1,0
"725",50223,1988,NA,1,1,1
"726",50226,1988,NA,0,1,0
"727",50245,1988,NA,0,0,0
"728",50251,1988,NA,1,1,1
"729",50270,1988,NA,0,0,0
"730",50287,1988,NA,1,1,1
"731",50313,1988,NA,0,0,0
"732",50318,1988,NA,0,1,1
"733",50325,1988,NA,0,0,0
"734",50330,1988,NA,1,1,1
"735",50350,1988,NA,0,1,1
"736",50370,1988,NA,0,0,0
"737",50400,1988,NA,0,1,0
"738",50450,1988,NA,0,0,0
"739",50568,1988,NA,1,1,1
"740",50573,1988,NA,1,1,1
"741",50577,1988,NA,1,1,1
"742",50590,1988,NA,1,1,1
"743",50606,1988,NA,0,1,0
"744",50680,1988,NA,0,0,0
"745",50683,1988,NA,1,1,1
"746",50686,1988,NA,0,0,0
"747",50689,1988,NA,1,1,1
"748",50711,1988,NA,1,1,1
"749",50999,1988,NA,0,0,0
"750",52001,1988,NA,0,0,1
"751",52019,1988,NA,0,0,0
"752",52022,1988,NA,0,0,0
"753",52036,1988,NA,0,0,0
"754",52051,1988,NA,0,0,0
"755",52079,1988,NA,0,0,0
"756",52083,1988,NA,0,0,0
"757",52110,1988,NA,0,0,0
"758",52203,1988,NA,0,0,0
"759",52207,1988,NA,0,0,0
"760",52210,1988,NA,0,0,0
"761",52215,1988,NA,0,0,0
"762",52224,1988,NA,0,1,0
"763",52227,1988,NA,0,0,0
"764",52233,1988,NA,0,1,0
"765",52240,1988,NA,0,0,0
"766",52250,1988,NA,0,0,0
"767",52254,1988,NA,0,0,0
"768",52256,1988,NA,1,0,1
"769",52258,1988,NA,0,0,0
"770",52260,1988,NA,0,0,0
